[Header]\r\n[Footer]\r\n[Header]\r\n2010-02-20 22:10:21,137 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:42,048 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:42,058 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:42,058 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:42,168 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:42,168 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:42,168 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:42,278 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:42,278 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:42,288 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:42,398 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:42,398 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:42,398 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:43,750 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:43,750 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:43,750 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:43,870 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:43,880 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:43,880 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:43,990 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:43,990 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:43,990 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,101 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:44,101 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,101 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,211 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:44,211 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,211 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,331 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:44,331 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,331 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,441 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:44,441 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,451 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,631 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:44,641 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,641 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,792 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:44,792 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,792 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,902 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:44,912 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:44,912 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,022 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:45,032 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,032 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,132 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:45,142 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,142 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,252 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:45,252 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,252 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,362 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:45,362 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,362 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,533 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:45,533 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,543 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,673 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:45,673 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,683 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,793 [1] INFO  PDFv2.connect OTVORENE
